zip,lat,lng,city,state,zcta,parent_zcta,county_fips,county_name,county_weight,all_county_weights,imprecise,military
00501,40.8133,-73.0476,Holtsville,NY,False,11742,,,,,False,False
00544,40.8133,-73.0476,Holtsville,NY,False,11742,,,,,False,False
00601,18.18,-66.7522,Adjuntas,PR,True,,72001,Adjuntas,99.43,"{""72001"":99.43,""72141"":0.57}",False,False
00602,18.3607,-67.1752,Aguada,PR,True,,72003,Aguada,100,"{""72003"":100}",False,False
00603,18.4566,-67.1226,Aguadilla,PR,True,,72005,Aguadilla,100,"{""72005"":100}",False,False
00604,18.4397,-67.1549,Aguadilla,PR,False,00603,,,,,False,False
00605,18.4397,-67.1549,Aguadilla,PR,False,00603,,,,,False,False
00606,18.1672,-66.9383,Maricao,PR,True,,72093,Maricao,94.88,"{""72093"":94.88,""72121"":1.35,""72153"":3.78}",False,False
00610,18.2903,-67.1224,Anasco,PR,True,,72011,Añasco,99.45,"{""72003"":0.55,""72011"":99.45}",False,False
00611,18.2845,-66.8024,Angeles,PR,False,00641,,,,,False,False
00612,18.3928,-66.7229,Arecibo,PR,True,,72013,Arecibo,99.89,"{""72013"":99.89,""72017"":0.11}",False,False
00613,18.4567,-66.7359,Arecibo,PR,False,00612,,,,,False,False
00614,18.4567,-66.7359,Arecibo,PR,False,00612,,,,,False,False
00616,18.4175,-66.6681,Bajadero,PR,True,,72013,Arecibo,100,"{""72013"":100}",False,False
00617,18.4412,-66.5592,Barceloneta,PR,True,,72017,Barceloneta,99.43,"{""72017"":99.43,""72054"":0.57}",False,False
00622,17.9917,-67.1525,Boqueron,PR,True,,72023,Cabo Rojo,100,"{""72023"":100}",False,False
00623,18.0835,-67.1542,Cabo Rojo,PR,True,,72023,Cabo Rojo,100,"{""72023"":100}",False,False
00624,18.0646,-66.7182,Penuelas,PR,True,,72111,Peñuelas,92.53,"{""72111"":92.53,""72113"":7.47}",False,False
00627,18.419,-66.8603,Camuy,PR,True,,72027,Camuy,100,"{""72027"":100}",False,False
00631,18.1856,-66.8333,Castaner,PR,True,,72081,Lares,67.01,"{""72001"":32.99,""72081"":67.01}",False,False
00636,18.1581,-67.0681,Rosario,PR,False,00680,,,,,False,False
00637,18.0798,-66.9427,Sabana Grande,PR,True,,72121,Sabana Grande,99.56,"{""72121"":99.56,""72153"":0.44}",False,False
00638,18.289,-66.5151,Ciales,PR,True,,72039,Ciales,98.27,"{""72039"":98.27,""72091"":1.73}",False,False
00641,18.2641,-66.7138,Utuado,PR,True,,72141,Utuado,99.79,"{""72001"":0.21,""72141"":99.79}",False,False
00646,18.434,-66.2833,Dorado,PR,True,,72051,Dorado,99.89,"{""72051"":99.89,""72143"":0.11}",False,False
00647,17.9661,-66.9438,Ensenada,PR,True,,72055,Guánica,98.88,"{""72055"":98.88,""72079"":1.12}",False,False
00650,18.3432,-66.586,Florida,PR,True,,72054,Florida,83.61,"{""72013"":1.51,""72017"":1.91,""72039"":1.13,""72054"":83.61,""72141"":11.84}",False,False
00652,18.4554,-66.6063,Garrochales,PR,True,,72013,Arecibo,100,"{""72013"":100}",False,False
00653,17.9857,-66.8903,Guanica,PR,True,,72055,Guánica,100,"{""72055"":100}",False,False
00656,18.0528,-66.7918,Guayanilla,PR,True,,72059,Guayanilla,100,"{""72059"":100}",False,False
00659,18.4107,-66.7965,Hatillo,PR,True,,72065,Hatillo,100,"{""72065"":100}",False,False
00660,18.1342,-67.114,Hormigueros,PR,True,,72067,Hormigueros,100,"{""72067"":100}",False,False
00662,18.4621,-67.0144,Isabela,PR,True,,72071,Isabela,100,"{""72071"":100}",False,False
00664,18.2115,-66.5889,Jayuya,PR,True,,72073,Jayuya,99.15,"{""72073"":99.15,""72141"":0.85}",False,False
00667,18.0124,-67.041,Lajas,PR,True,,72079,Lajas,98.91,"{""72079"":98.91,""72125"":1.09}",False,False
00669,18.271,-66.8698,Lares,PR,True,,72081,Lares,99.22,"{""72081"":99.22,""72083"":0.62,""72131"":0.16}",False,False
00670,18.2378,-66.9887,Las Marias,PR,True,,72083,Las Marías,98.88,"{""72011"":1.12,""72083"":98.88}",False,False
00674,18.4212,-66.49,Manati,PR,True,,72091,Manatí,98.49,"{""72091"":98.49,""72145"":1.51}",False,False
00676,18.3779,-67.0808,Moca,PR,True,,72099,Moca,99.49,"{""72003"":0.51,""72099"":99.49}",False,False
00677,18.3357,-67.2317,Rincon,PR,True,,72117,Rincón,99.53,"{""72003"":0.47,""72117"":99.53}",False,False
00678,18.4327,-66.9281,Quebradillas,PR,True,,72115,Quebradillas,93.17,"{""72071"":5.36,""72115"":93.17,""72131"":1.47}",False,False
00680,18.2011,-67.0913,Mayaguez,PR,True,,72097,Mayagüez,97.01,"{""72011"":0.46,""72097"":97.01,""72125"":2.53}",False,False
00681,18.2036,-67.1434,Mayaguez,PR,False,00680,,,,,False,False
00682,18.2211,-67.1538,Mayaguez,PR,True,,72097,Mayagüez,100,"{""72097"":100}",False,False
00683,18.11,-67.0373,San German,PR,True,,72125,San Germán,100,"{""72125"":100}",False,False
00685,18.3362,-66.9722,San Sebastian,PR,True,,72131,San Sebastián,98,"{""72071"":2,""72131"":98}",False,False
00687,18.3171,-66.4203,Morovis,PR,True,,72101,Morovis,100,"{""72101"":100}",False,False
00688,18.3806,-66.6242,Sabana Hoyos,PR,True,,72013,Arecibo,100,"{""72013"":100}",False,False
00690,18.4957,-67.0982,San Antonio,PR,True,,72005,Aguadilla,100,"{""72005"":100}",False,False
00692,18.4084,-66.3369,Vega Alta,PR,True,,72143,Vega Alta,100,"{""72143"":100}",False,False
00693,18.4213,-66.4001,Vega Baja,PR,True,,72145,Vega Baja,96.07,"{""72143"":3.93,""72145"":96.07}",False,False
00694,18.4833,-66.3926,Vega Baja,PR,True,,72145,Vega Baja,100,"{""72145"":100}",False,False
00698,18.0673,-66.8527,Yauco,PR,True,,72153,Yauco,99.76,"{""72059"":0.24,""72153"":99.76}",False,False
